date,cand_g09,cand_b00,cand_g10,cand_g17,cand_b07,cand_g11,cand_g12,cand_g02,cand_g03,cand_g06,cand_b05,cand_b01,cand_g16,cand_b06,cand_g13,cand_b02,cand_g07,cand_b04,cand_g00,cand_g08,cand_b03,cand_g15,cand_g04,cand_g14,cand_g05,cand_g01
2025-01-01,11016.000428827936,15289.463575834443,11286.89794341345,11541.005844232675,13238.085333120085,10657.530564436358,10893.371718852717,12339.24939257032,10349.424485225783,10279.032454066235,14292.440175081128,16600.49445867422,10160.09624840667,16962.57888639403,12661.568782118104,13965.589080179814,12262.391707435727,10446.54247410223,11754.991267028612,10762.357308085024,7299.480501107219,11065.977332979115,12314.336758908874,12654.405449268606,12374.29656204505,11543.13789365708
2025-01-02,10408.210184005213,15453.533112837908,10970.875790645174,11406.545799870695,12915.370906168962,11065.767600095023,10541.877908156312,11846.792954885184,10379.54293772618,10843.674645752088,15398.567024570182,17365.734427302752,9934.89926137402,15475.872584478788,12433.946718134119,13997.492131855803,11717.72845940264,10938.020314084744,10785.028898610362,10317.503228846846,7220.135583379342,10915.509637972085,12163.085545993808,12931.13017488316,12054.443593155105,11023.235542088672
2025-01-03,10036.1968170898,15334.236904802348,10624.626721074022,11013.066814894042,12111.268411324494,10114.304912016169,10162.118357167705,11960.780089451497,9999.724098155286,10299.144490207836,13578.14213665902,16673.80244062773,10015.131477487106,16590.626052932566,12321.478562512475,14041.611112615723,11045.566221818062,10274.437462569158,10935.810373698414,10227.90666204428,7062.004615526951,10907.501431989,11332.226186064268,11902.370692420298,11239.061726196624,10715.302568258076
2025-01-04,9568.915167111763,15498.924903679044,10668.445006688542,10415.574144600281,12326.804650203125,9414.043062172848,9946.135011274837,11566.826537377552,9734.557440123685,9624.80807065888,14530.067171672665,17812.273191493085,9636.979490683476,16777.38725194623,11505.830299381741,12938.03145630836,11107.48075381339,11631.590041467527,10730.713868517407,10121.497232224683,6842.623246031173,10495.560131229318,11473.224905367997,12110.438931169416,10607.029538406126,10651.4204131213
2025-01-05,9669.660938923671,15377.358204972068,9924.657650798435,10530.396416625903,12455.294413418396,9320.209870515679,9865.801440118334,11516.939388430414,9419.579513377223,9809.784767396082,14663.925337224191,19109.94199828773,9301.6082703087,15995.771270629912,11313.819103894019,14186.840891929494,11268.887293967122,11255.790033187932,10269.172853088477,10728.113086404233,7347.552314438917,10133.366887341615,11290.59440371441,11955.60505293631,10785.230266629023,10519.219711544882
2025-01-06,9768.447321866257,15971.26383287313,10796.741716583982,10695.210312228906,14228.789704603838,9786.428261052113,10286.14454513385,11512.668336962606,9485.343303285477,9518.765632738747,15281.008186147825,18817.90726797189,9646.204114757516,15802.28673510121,11380.501980435745,12712.340148156281,10981.432830610293,11351.60212820427,10911.01991732252,10027.234562682639,7123.62431586578,10428.954096031877,11018.439473639004,12032.115003204928,11079.448478534894,10219.318300570092
2025-01-07,10052.666423974,15665.346357809007,11079.56022974101,10961.91338478343,13998.461102812127,9632.303479595892,9929.587901258257,12102.308549926944,9771.237003497901,10117.152211025345,15851.396089126189,16957.477996409078,9721.252108500075,16745.2459658519,11675.148431746782,13857.31990561246,11720.855586551597,11164.931146969879,10642.42275615347,10412.81014286297,6959.4003863518665,10684.418013926404,11634.916459904738,11986.079798050394,11517.229230880743,10331.519938970741
2025-01-08,10112.182338556553,15932.010288701638,10634.487770427073,10785.431695885802,13642.021897486511,10364.637787441945,9984.99419656396,11826.199200717814,10293.958571395702,10116.33730939499,15122.271168846124,18035.108177121536,9807.911815291405,15026.465032713424,12200.029878419444,13398.53620992182,11474.795491963954,10337.874552589607,10279.370437653155,10913.430794623471,7222.5702663972925,10423.383937355915,12193.455297279774,12064.395649947195,11789.0891770966,10270.1121583628
2025-01-09,10324.588747310761,15593.267882324844,10420.673262439695,10594.071426814504,13132.938634828677,10014.982691412704,10118.351882802172,11735.958195466488,9886.564101585353,10393.249001372977,15036.581693124499,15986.073765929934,9585.955878834156,16198.172065156843,11512.043777541632,12964.27346918703,11381.579395230898,11237.854914330668,10510.843789243541,10497.600421257266,7200.912173031522,10913.539969539854,11633.844171154964,12433.99881570605,10608.855988130812,10756.00679586195
2025-01-10,9701.00191421104,14565.909883974367,10241.756220623745,10666.897698728611,12376.777910941282,9728.531310301541,10070.849537454862,10823.500959900055,9561.430766981408,10120.091235057145,14104.349825570678,16512.603562238564,9382.498969601886,15848.701415368432,11279.702624714722,13404.027208642916,10588.095030416564,10691.26474261224,10102.232243436038,10080.18957251321,7035.743234689114,10497.385377592536,11467.06042334245,11529.992839350794,10663.777341332498,10490.24038219642
