date,fanbase_other_region
2025-01-01,11585.472078937206
2025-01-02,11615.559135955702
2025-01-03,10590.079518643082
2025-01-04,10930.752998085809
2025-01-05,11039.380110387849
2025-01-06,11492.026137769833
2025-01-07,11780.901828430546
2025-01-08,12258.38641605366
2025-01-09,11559.231295884854
2025-01-10,10988.40102778443
2025-01-11,11171.14386801735
2025-01-12,11275.53538299853
2025-01-13,11329.640142218963
2025-01-14,12075.66794984236
2025-01-15,11641.840677845494
2025-01-16,11410.721535570707
2025-01-17,11629.709898909261
2025-01-18,11093.265410603164
2025-01-19,10673.096393362128
2025-01-20,10734.487394174694
2025-01-21,11874.266430674628
2025-01-22,10888.692360290892
2025-01-23,11894.244761801456
2025-01-24,11293.446132689465
2025-01-25,11429.082828602752
2025-01-26,11464.205724121399
2025-01-27,11530.320829489241
2025-01-28,11837.748952007805
2025-01-29,11938.114563446063
2025-01-30,11909.880416890323
2025-01-31,12179.825533639261
2025-02-01,11373.248454996065
2025-02-02,11339.638482827831
2025-02-03,11671.94844831072
2025-02-04,11344.089495077656
2025-02-05,11128.201043452276
2025-02-06,11891.555631649557
2025-02-07,11504.315842955664
2025-02-08,11665.913404513192
2025-02-09,10899.936869166517
2025-02-10,11560.482126900224
2025-02-11,11621.553584036097
2025-02-12,11671.946902650754
2025-02-13,11345.217778022172
2025-02-14,11448.000872774071
2025-02-15,11128.54428249945
2025-02-16,11215.80265697686
2025-02-17,11224.20923901768
2025-02-18,11257.14262590967
2025-02-19,11625.197825790157
2025-02-20,11845.087265023432
2025-02-21,11184.75956167891
2025-02-22,11254.282871488265
2025-02-23,11622.655568077875
2025-02-24,11315.748501390011
2025-02-25,11744.563601963695
2025-02-26,11832.868013339066
2025-02-27,11814.398291373991
2025-02-28,11275.684317695119
2025-03-01,11049.686744668186
2025-03-02,10836.635143361535
2025-03-03,11246.60089575018
2025-03-04,11746.493998880916
2025-03-05,11663.288053486365
2025-03-06,11179.49200936051
2025-03-07,11203.196308100465
2025-03-08,10884.014697086466
2025-03-09,10932.999548672857
2025-03-10,11330.46432195813
2025-03-11,10953.657679311065
2025-03-12,11402.797798263598
2025-03-13,11347.070662570019
2025-03-14,11228.106235747748
2025-03-15,10829.789897656376
2025-03-16,11198.502148435762
2025-03-17,10944.420060063663
2025-03-18,11020.503028706451
2025-03-19,11436.190292852703
2025-03-20,11593.268469980534
2025-03-21,11110.189242507846
2025-03-22,11106.943901488814
2025-03-23,11045.862137852106
2025-03-24,11088.144194221903
2025-03-25,11500.011133795228
2025-03-26,11187.262059411925
2025-03-27,11852.76035612032
2025-03-28,10826.69421770879
2025-03-29,11074.769134383097
2025-03-30,11191.654228318936
2025-03-31,10963.790020414435
2025-04-01,11461.179049927425
2025-04-02,11757.389914637904
2025-04-03,11220.116501116436
2025-04-04,11436.027915384144
2025-04-05,11201.829102298601
2025-04-06,11320.80277080701
2025-04-07,11602.29192401232
2025-04-08,11756.584290792185
2025-04-09,11441.82097562961
2025-04-10,11208.473901879328
2025-04-11,11282.957500940163
2025-04-12,11264.254157808535
2025-04-13,10557.876504347028
2025-04-14,11754.062986415085
2025-04-15,11466.311091537431
2025-04-16,11306.649059353234
2025-04-17,11661.105782956196
2025-04-18,11258.391375577554
2025-04-19,11131.132495096143
2025-04-20,11647.954453701883
2025-04-21,11337.23681585982
2025-04-22,11511.32433184355
2025-04-23,11645.244978713945
2025-04-24,11995.43612554225
2025-04-25,11195.479785820859
2025-04-26,10938.942732659825
2025-04-27,10848.380857184435
2025-04-28,11666.301795993362
2025-04-29,12038.155935319795
2025-04-30,11670.834270255978
2025-05-01,11232.203581719361
2025-05-02,11164.18607673748
