date,cand_g09,cand_b04,cand_b09,cand_g14,cand_g05,cand_g11,cand_g02,cand_b06,cand_g10,cand_g13,cand_g01,cand_b05,cand_g15,cand_g17,cand_g19,cand_b01,cand_b02,cand_g03,cand_b08,cand_g12,cand_g04,cand_g06,cand_b00,cand_g07,cand_b03,cand_g00,cand_b07,cand_g16,cand_g18,cand_g08
2025-01-01,12961.732304754427,6250.683022570128,15307.701334088153,14332.620516507393,12687.344825517208,13505.80830063116,13046.805339022423,16741.39750204603,12514.650934674231,13465.04040929409,14608.66629701465,9644.15193360664,15354.538355592455,13147.018542533033,14711.583167214747,14410.325982592229,9896.884832774685,12851.027398048996,13749.155551240807,14793.287301266446,14374.289452332569,13606.396559007937,5721.776888757929,14438.05650226297,6312.9165505226165,12336.890201454811,14517.401174255327,12767.166186952854,12388.017922645742,13925.838162415346
2025-01-02,13373.616994774879,5784.703851761375,13866.280033541823,13734.417055119167,12989.046774676342,12533.521385389802,13530.339544131893,16242.466470668865,12242.547884697282,13778.979984753825,14729.482637562416,9714.08318650641,14428.269942463077,13169.086022700025,13533.74566920005,14033.743132198651,10122.516160869895,12715.077391201836,13246.258645025224,13731.916983475643,14872.789851838268,12971.945510627977,6074.427532258734,14659.487526516445,6585.1218792966965,12381.342511071092,12649.473247348571,13117.760899811165,11435.467928180398,13114.38815004278
2025-01-03,12554.60827223285,6102.1559869137745,12788.242129814662,13115.901521230908,11956.985381465534,12204.04644588941,12025.996602401437,15414.423274593335,11762.239504512758,12122.90755846712,14036.037936972505,9682.70608847816,13391.846565054526,11810.498843158037,12611.762436715706,14003.921106523449,9644.89162283843,12939.333819241705,13766.317223766613,13131.371895904422,13332.321706561588,12491.925057903763,6427.2906426567515,13616.454226676948,6059.386640994741,11518.648590861176,12965.520300183087,11994.047296055225,11649.174315183733,12773.719731272835
2025-01-04,11561.43307448005,6424.898936151355,14742.254480118128,12306.914484017301,11751.564579278467,11561.338614945902,11997.351933759639,14919.309193510855,10762.30198322545,11896.96472457283,13465.457636370274,10227.862002093148,13406.701646046675,11598.384950819971,13057.095728110464,14224.867121761728,10097.389065303312,11252.233559491182,14275.786012251632,12828.83405288743,13113.999420747503,11988.545619607197,6690.05041843245,12848.159817308471,6314.293680477642,10385.951960622562,13050.709295989236,11131.743949698366,10952.534508037988,12199.77557447464
2025-01-05,11250.527280310556,6079.780049456335,14401.844743882677,12607.14798421807,11142.770145676002,11654.062577961031,11273.419148278033,16031.931999087406,11331.15277489904,11779.45909503102,13612.889952120071,9242.183199495536,12705.378661246823,11338.734896786733,11897.894052406498,14155.100404906254,10109.055650579769,12314.972819260041,15369.093686196411,13417.898263392273,13109.330627630276,11837.174617778954,6294.516466909123,12345.75516626788,5826.043527484117,11310.054846134262,14213.047371869534,11412.205311393516,10409.012453504314,11938.327314267734
2025-01-06,11890.601772389404,6164.780997969611,15325.077944442284,12297.1062946359,11694.336184257523,11259.80485571139,12580.872382999332,17589.28369820754,11125.540148681765,11216.555551510957,13035.829790497122,9971.618245207112,12752.636508689246,11528.182976244752,12287.94817438985,14428.536339530869,9127.504807462594,11408.691602289411,15573.309869235001,12568.187820174624,12834.39834155509,12014.530819184884,6493.593308321848,12401.502011385317,6208.766483290294,10654.435860990192,13631.779128237165,11171.485266976917,10770.646570725849,11956.586459862998
2025-01-07,11402.396785212508,6126.922739530654,16147.974433646406,12984.73977583587,11566.242909434626,11877.031928897262,11738.465062264162,16896.619538876308,10592.02775086375,11999.924614096379,12705.970749558419,9960.765898012307,12184.080401039217,11239.532967158188,12537.260233403147,13981.965014281786,10225.496171592504,11605.016414528767,15637.06825148396,13389.96650748832,12650.242104550825,12423.778150263923,6084.10329491078,12930.131165228171,6202.807196263103,10651.90014213904,14599.713988172094,11469.421386810565,10357.596003394723,11957.312524192032
2025-01-08,11778.009672529977,6254.2747959296175,15167.94406834766,12464.685440606696,11311.701224064329,11345.72573382032,12214.745565937266,17143.60371620466,11238.868424620818,12511.792302125756,13332.66986923927,9594.610793534423,13451.651125373584,11872.531057482807,12059.59333614428,13568.545541495734,9712.690172983768,11820.3398752914,14006.065483617895,13016.910459557328,12226.878012698367,11526.59316347632,6112.52570969252,12789.392214669679,6139.513118529864,11227.525317116304,12956.770007273404,11678.782385147124,10939.116346573312,12398.429161126349
2025-01-09,11339.68166197688,5909.314198165634,13004.125145769316,12330.986429770817,11894.52272347738,11756.963393216865,11286.85978347787,15826.925899419915,10359.402118843065,11588.58190112709,12941.063916498482,10508.106332176034,13614.77365113016,10828.54593864932,12249.332456866243,13714.158440214118,10166.135017535493,12419.29605127165,13606.969626448406,13181.340699144317,12733.960739956607,11396.06025954707,6266.579077283968,12356.941451631532,6216.746327099175,10662.229491155189,12503.138484230456,11616.40603721947,11144.544073253799,11396.730010275667
2025-01-10,10676.056776155921,6397.764847217417,13275.590189719496,12007.73002897353,11170.548016313112,11558.421054666858,11459.170274902726,15934.709485547217,10600.062414762615,11549.32983844968,13143.541141563612,10031.410960176838,13024.447442720613,11300.360270876166,12617.277731911463,13414.333844737925,10131.028671177171,12377.494946331015,13555.583806655579,13252.836089422191,12259.874170458912,11197.901233310296,6347.858926246332,12120.856793976422,6374.769735546509,10500.655472685288,13182.258808903736,10837.812582151586,10286.563842635136,11741.773452124515
