date,fanbase_other_region
2025-01-01,10907.065333707058
2025-01-02,11530.297584710257
2025-01-03,10721.084113638826
2025-01-04,10878.31492193237
2025-01-05,10581.58886196714
2025-01-06,10641.463660175039
2025-01-07,11325.713148777822
2025-01-08,10829.781982147333
2025-01-09,10920.036100676469
2025-01-10,10901.117792206749
2025-01-11,10772.16744373644
2025-01-12,10723.86025119524
2025-01-13,10688.987113167626
2025-01-14,11264.960506803714
2025-01-15,11001.24430586631
2025-01-16,11137.77229523064
2025-01-17,10545.650573392795
2025-01-18,10346.40940986956
2025-01-19,10595.985454872518
2025-01-20,10644.267681916062
2025-01-21,10478.427119722626
2025-01-22,10364.640489285073
2025-01-23,11258.525198915999
2025-01-24,11186.544883047467
2025-01-25,10669.6954701846
2025-01-26,10597.032865887513
2025-01-27,10884.202782796978
2025-01-28,10881.297702902593
2025-01-29,11006.083007368557
2025-01-30,11248.6911015207
2025-01-31,10611.61130901905
2025-02-01,11015.036415277018
2025-02-02,10234.49270951109
2025-02-03,10846.732855806094
2025-02-04,10856.424599624072
2025-02-05,10875.891252647702
2025-02-06,10679.73870926688
2025-02-07,10750.740864599833
2025-02-08,10499.3692872759
2025-02-09,10500.472313568573
2025-02-10,10682.167145188261
2025-02-11,10893.913649051265
2025-02-12,11588.104859854651
2025-02-13,11272.195218847879
2025-02-14,10778.111512324956
2025-02-15,10642.726346769905
2025-02-16,10648.159439029661
2025-02-17,10724.54196922704
2025-02-18,10906.720351853302
2025-02-19,11144.703502589133
2025-02-20,10745.66661295439
2025-02-21,10757.98536439387
2025-02-22,10746.881249935184
2025-02-23,10527.420305715477
2025-02-24,10988.915902337463
2025-02-25,10822.15189715786
2025-02-26,10853.181692784934
2025-02-27,10957.652773100359
2025-02-28,11168.534663192257
2025-03-01,10280.774529328412
2025-03-02,10569.04081815273
2025-03-03,11165.917269157222
2025-03-04,11119.175493182503
2025-03-05,11311.853362769474
2025-03-06,11178.763026783608
2025-03-07,11288.090877429975
2025-03-08,10429.476253436362
2025-03-09,10227.210945546178
2025-03-10,10796.697145762737
2025-03-11,10772.67670123347
2025-03-12,11711.761641170559
2025-03-13,10850.327135448348
2025-03-14,10636.16993974268
2025-03-15,10752.275832140669
2025-03-16,10245.471652117501
2025-03-17,10828.128875490658
2025-03-18,11241.517152559836
2025-03-19,11056.72628423284
2025-03-20,10950.731152982447
2025-03-21,10602.95599088158
2025-03-22,10790.040277443586
2025-03-23,10175.574283435935
2025-03-24,10608.972801162792
2025-03-25,10754.074561236765
2025-03-26,11146.709558050492
2025-03-27,10750.746957753548
2025-03-28,11180.75213628631
2025-03-29,10668.17298113978
2025-03-30,10725.328871210142
2025-03-31,10377.628910222493
2025-04-01,10897.054840265268
2025-04-02,10867.063170139192
2025-04-03,11172.981748285145
2025-04-04,10466.970169872284
2025-04-05,10676.946753050779
2025-04-06,11029.284378378741
2025-04-07,10630.88283879175
2025-04-08,10977.203752170819
2025-04-09,10485.73942544966
2025-04-10,10579.056010588267
2025-04-11,10437.268690209068
2025-04-12,10470.401660532332
2025-04-13,11014.360938188387
2025-04-14,11254.902825393163
2025-04-15,11251.393990510374
2025-04-16,10984.555138701035
2025-04-17,11106.575354512923
2025-04-18,10549.334276421565
2025-04-19,10816.312219597607
2025-04-20,11061.956960945303
2025-04-21,10795.301518109485
2025-04-22,11294.162481567968
2025-04-23,11517.325914020943
2025-04-24,11272.4054815474
2025-04-25,10992.134230341708
2025-04-26,11020.239521419307
2025-04-27,11144.452467299372
2025-04-28,10650.849147227265
2025-04-29,11147.635623390846
2025-04-30,11546.1190480338
2025-05-01,10973.445521232401
2025-05-02,10794.020339193155
2025-05-03,10568.080038637572
2025-05-04,10585.924863995777
2025-05-05,11011.854409375124
2025-05-06,11002.231073476043
2025-05-07,11107.736575462704
2025-05-08,10699.146090733919
2025-05-09,10483.197805105825
2025-05-10,10476.159794926234
2025-05-11,10527.471651337433
2025-05-12,11005.7152287083
2025-05-13,10884.666607538775
2025-05-14,11039.88081242599
2025-05-15,10775.832837035387
2025-05-16,10672.294536900896
2025-05-17,11060.59380977179
2025-05-18,11093.142212374401
2025-05-19,10608.076614504986
2025-05-20,10719.092796508998
2025-05-21,10817.664577943746
2025-05-22,10801.73804805958
2025-05-23,10984.057364503782
2025-05-24,10637.303210104928
2025-05-25,10717.807232152738
2025-05-26,10762.364526801282
2025-05-27,10842.094325782118
2025-05-28,10685.715396549615
2025-05-29,11003.071204044178
2025-05-30,11044.305734660149
2025-05-31,10770.276134611206
2025-06-01,10435.296324280733
2025-06-02,10661.693499606814
2025-06-03,10566.777291328852
2025-06-04,11041.386993042699
2025-06-05,10581.771729295642
2025-06-06,10785.533079053192
2025-06-07,10662.470167482894
2025-06-08,11005.487464654116
2025-06-09,10846.875926201365
2025-06-10,10594.719750667644
2025-06-11,10846.164524249401
2025-06-12,10881.077018252949
2025-06-13,11000.53606542691
2025-06-14,10745.404464864649
2025-06-15,11037.838433394341
2025-06-16,11126.687250987616
2025-06-17,10823.352892716912
2025-06-18,11051.185973571377
2025-06-19,11298.86950193549
2025-06-20,10437.102905715032
2025-06-21,11143.347247663829
2025-06-22,10852.088467228103
2025-06-23,10206.376403004706
2025-06-24,11101.377296918374
2025-06-25,11136.96721190591
2025-06-26,11147.597621440142
2025-06-27,11089.204584598447
2025-06-28,11099.598631662711
2025-06-29,10652.003111861763
