,streams
2025-01-01,8026.212336492413
2025-01-02,7704.477705443484
2025-01-03,7426.120837711453
2025-01-04,7088.392297316216
2025-01-05,6896.806988176212
2025-01-06,7083.241141115416
2025-01-07,7685.502727516298
2025-01-08,7700.340886831808
2025-01-09,7459.756527239606
2025-01-10,7049.821382280998
2025-01-11,6731.600362380598
2025-01-12,6795.084990692647
2025-01-13,6850.180361264716
2025-01-14,7068.771396270032
2025-01-15,7409.2345087108
2025-01-16,7292.074503304555
2025-01-17,6996.950159896556
2025-01-18,6415.117288336266
2025-01-19,6349.886642277532
2025-01-20,6511.963876792869
2025-01-21,6698.568253113091
2025-01-22,7021.197337685523
2025-01-23,6807.84299376631
2025-01-24,6397.999338352334
2025-01-25,5938.697237154662
2025-01-26,6073.765254527625
2025-01-27,6391.172192328616
2025-01-28,6637.957182912314
2025-01-29,6665.382047468149
2025-01-30,6679.616633120735
2025-01-31,6111.178805012178
2025-02-01,5884.126108693015
2025-02-02,5866.811719175301
2025-02-03,6284.89566142134
2025-02-04,6239.767252750343
2025-02-05,6908.8186808112705
2025-02-06,6639.626545194388
2025-02-07,6261.112432825404
2025-02-08,6274.799525508305
2025-02-09,6209.631666731216
2025-02-10,6517.559787062184
2025-02-11,7033.8883865375465
2025-02-12,7086.963498904903
2025-02-13,6908.737628023014
2025-02-14,6677.137134903327
2025-02-15,6327.248364291185
2025-02-16,6516.576945063236
2025-02-17,6609.166500651161
2025-02-18,7062.751554391742
2025-02-19,7131.8210526576495
2025-02-20,7070.312263951308
2025-02-21,6766.449960560995
2025-02-22,6503.032409594833
2025-02-23,6523.795045809447
2025-02-24,6599.3082337484175
2025-02-25,6791.621215874664
2025-02-26,7109.525102007854
2025-02-27,6846.229666455357
2025-02-28,6723.86786780742
2025-03-01,6179.982218558294
2025-03-02,6052.522304845497
2025-03-03,5994.620277328749
2025-03-04,6625.927355948262
2025-03-05,6426.899960253854
2025-03-06,6198.0943713664565
2025-03-07,6008.346424407291
2025-03-08,5449.1511144971755
2025-03-09,5438.137679875519
2025-03-10,5974.850395309476
2025-03-11,6087.254211643699
2025-03-12,6156.203550233886
2025-03-13,5836.0725237020415
2025-03-14,5548.534069808905
2025-03-15,5332.1340146553575
2025-03-16,5425.794232169304
2025-03-17,5302.90401727778
2025-03-18,5622.925613960546
2025-03-19,5995.674696527087
2025-03-20,5777.650962580231
2025-03-21,5490.18952349679
2025-03-22,5311.327101315057
2025-03-23,5293.0158101204715
2025-03-24,5815.443755348597
2025-03-25,6004.631513700305
2025-03-26,6379.617732360915
2025-03-27,6040.432330016169
2025-03-28,5618.414060802489
2025-03-29,5564.54111907281
2025-03-30,5664.805854804147
2025-03-31,5972.023701131856
2025-04-01,6108.689717222426
2025-04-02,6689.917998256817
2025-04-03,6556.241323808439
2025-04-04,5827.784162896327
2025-04-05,5937.217303387535
2025-04-06,6057.157637561515
2025-04-07,6387.18243640501
2025-04-08,6511.963946494539
2025-04-09,6647.794088309135
2025-04-10,6329.3520414833465
2025-04-11,5930.216770382471
2025-04-12,5916.691944168747
2025-04-13,5942.346000650962
2025-04-14,5976.248744425109
2025-04-15,6323.544612192787
2025-04-16,6337.7224962457885
2025-04-17,5761.531180048699
2025-04-18,5854.254989201192
2025-04-19,5350.891459224072
2025-04-20,5365.391811580162
2025-04-21,5362.551205398262
2025-04-22,5633.0850243755685
2025-04-23,5923.4085382022795
2025-04-24,5708.1267207020555
2025-04-25,5229.710063852016
2025-04-26,4970.997198883018
2025-04-27,4901.135828283766
2025-04-28,4956.604183716738
2025-04-29,5515.46714228307
2025-04-30,5852.148144222395
2025-05-01,5458.487368655977
2025-05-02,5071.82962607469
2025-05-03,5002.454382573485
2025-05-04,5060.807499140566
2025-05-05,5448.8084103598085
2025-05-06,5647.280565143435
2025-05-07,6126.207903755177
2025-05-08,6058.554030156102
2025-05-09,5843.8987723799655
2025-05-10,5608.556565054388
2025-05-11,5646.724325876837
2025-05-12,6039.264363069081
2025-05-13,6471.190997732932
2025-05-14,6622.969071610133
2025-05-15,6337.489874786919
2025-05-16,6306.888947126038
2025-05-17,6208.743099080317
2025-05-18,6384.625923057402
2025-05-19,6356.5140105681585
2025-05-20,7034.019684992742
2025-05-21,7004.598916799834
2025-05-22,6762.176437408596
2025-05-23,6565.490337412586
2025-05-24,6142.083624677517
2025-05-25,6535.887765368444
2025-05-26,6889.222129399066
2025-05-27,7300.731285154265
2025-05-28,7284.1471905474455
2025-05-29,6487.534829340484
2025-05-30,6723.945091540722
2025-05-31,6224.164595838961
2025-06-01,6000.95249310098
2025-06-02,6489.644501612864
2025-06-03,6618.899038954482
2025-06-04,6632.882961157381
2025-06-05,6556.239944721551
2025-06-06,5825.150318794
2025-06-07,5976.518264830074
2025-06-08,5715.4643974601295
2025-06-09,5847.530362718601
2025-06-10,6169.120823645887
2025-06-11,6296.147329192338
2025-06-12,6052.065656323698
2025-06-13,5514.684321572365
2025-06-14,4992.087880169328
2025-06-15,4937.076046557129
2025-06-16,5479.607999093932
2025-06-17,5637.672522076894
2025-06-18,5553.753615486054
2025-06-19,5411.210253680134
2025-06-20,5136.716522098607
2025-06-21,5199.727880013902
2025-06-22,4854.086162541553
2025-06-23,5560.2967571973995
2025-06-24,5833.740463726414
2025-06-25,5675.664121122304
2025-06-26,6133.277162172742
2025-06-27,5531.271666016807
2025-06-28,5739.095921712479
2025-06-29,5411.186460397859
