,arch_00,arch_01,arch_02,arch_03,arch_04,arch_05,arch_06,arch_07,arch_08,arch_09,arch_10,arch_11,arch_12,arch_13
2025-01-01,5573.012254635142,6067.869418050902,5164.679269911519,6061.085284476943,5133.589479990911,5689.288427891458,5926.503239799255,5843.004124336381,5342.670391364771,5890.840662116817,6023.974485404781,5369.357434707293,5367.900171440421,5859.004606450623
2025-01-02,5539.842353136033,5846.369129254854,4848.12048791288,6008.031015159238,5063.384603439554,5717.86561712473,5955.429875438854,5798.250578281134,5177.771902517753,5820.5489226153695,5863.1343940396955,5078.066962103836,5203.417834413091,5592.498246625622
2025-01-03,5127.17086412987,5737.104230628834,4860.401133270619,5795.971961757606,4751.290518713255,5226.650042748548,5627.340051898424,5593.092305633724,4987.9608402712865,5378.39837566736,5556.057465947088,4897.954047433797,4968.378649198956,5458.457844065578
2025-01-04,4948.831193477736,5510.8462486327035,4702.885526824484,5408.939258541607,4712.839048014045,5103.759401337173,5453.578844819001,5319.289204461914,4830.285592295261,5204.971099228375,5298.507700490171,4846.35423143645,4910.225305044766,5207.272290133115
2025-01-05,4953.035608886746,5464.155424235009,4597.336406501924,5649.6556440603945,4647.603260525251,5410.042674423198,5604.501215005488,5260.923419128252,4836.543785729737,5286.945190695125,5440.163563281199,4718.831926661528,5112.287363540352,5260.882648154471
2025-01-06,5130.344462075472,5571.121574519316,4639.140105576922,5810.64711686182,5067.419990566667,5528.729341218664,5674.9455827086995,5611.0137902531515,5213.281599887407,5417.397110615612,5593.3304827758275,4777.972616424735,5100.233716113245,5456.9873435228965
2025-01-07,5451.2521207950185,6089.239286027806,4949.732836934518,5959.771772218039,5057.089906320597,5695.309302271856,5878.929200323554,5787.138007423049,5285.974423393658,5758.887610082966,5890.679173108237,5152.811955693452,5258.057080508651,5434.625839262945
2025-01-08,5597.484713299727,6345.905119826757,5045.477085782307,6133.634420391606,4930.6377829528365,5758.176178196053,5885.8398731730285,5816.210064122257,5359.735491726071,5792.875904612546,6002.236142166632,4947.730537607302,5379.757739392994,5805.387090375733
2025-01-09,5384.90467618761,5964.171938382535,4869.292807467327,5937.197199892899,4980.065344494527,5661.104555181294,5794.189607957377,5678.170528979292,5111.116080869546,5571.838821364106,5875.864288424904,5130.676978158417,5181.372766444947,5396.794219925913
2025-01-10,5300.171355802768,5611.960448459666,4734.3097704413685,5540.552350893511,4776.411317036666,5085.3302658003695,5639.376439574288,5540.26622021703,4933.478795630964,5021.988219419842,5664.118838807417,5002.598765165953,4878.335722246957,5128.425952981839
