,arch_00,arch_01,arch_02,arch_03
2025-01-01,3389.309754606161,3708.5043093086024,3124.451199266069,3560.0992537645784
2025-01-02,3282.918241900287,3562.7989168790104,3121.5850023949,3529.790926036096
2025-01-03,3153.9793682645736,3359.1761865553012,2989.5282508705695,3227.9030066668297
2025-01-04,3195.6695858194926,3328.514743005022,2888.3676016048903,3168.037961529258
2025-01-05,3104.6290697300856,3362.4078750782414,2802.724185832725,3130.250771470652
2025-01-06,3143.9984290322914,3316.7768809630793,3081.6810908820344,3280.4660965550743
2025-01-07,3318.691927925473,3419.3671214283067,3229.138565280352,3470.6563542196977
2025-01-08,3200.330743963974,3590.5172245693957,3201.8029761205735,3531.226108682429
2025-01-09,3132.660555800325,3444.2802390825063,3018.5627152722195,3483.242826366048
2025-01-10,3085.3820075917124,3354.3533833381025,2881.329254802907,3170.3118497257765
2025-01-11,3076.213690682162,3275.1099050391636,2810.3700713058597,3032.0817995036246
2025-01-12,3223.063963756333,3146.670320619911,2700.9651336596735,2974.325656194456
2025-01-13,3198.8748728824285,3318.031469006492,2953.677996463509,3112.139973846082
2025-01-14,3216.6675014394145,3306.4729865481736,3052.7552260965927,3227.828531746581
2025-01-15,3266.309560077447,3422.6487802416127,3132.1534220200447,3348.5251885352664
2025-01-16,3263.3152993156828,3215.4813243529593,2988.8917764828807,3253.973769515112
2025-01-17,3080.5362176880244,3091.3396302368847,2752.4925908053033,2972.135124707801
2025-01-18,3086.317370005793,2966.8308527683607,2619.7841255631874,2798.1845297365167
2025-01-19,2967.420058683267,2970.298392955799,2591.0316858014844,2753.5586635952877
2025-01-20,3055.955381341588,3043.509111762083,2645.153585129349,2916.2852483520514
2025-01-21,3314.7039798425185,3076.014233383229,2817.4430823835505,2939.9643117671194
2025-01-22,3252.10927931676,3192.536318137704,2791.9717081307335,3135.253442570437
2025-01-23,3136.8145145800586,3127.1675379250023,2658.7384768306033,2960.8188849801627
2025-01-24,2996.3895527829595,2854.0952966603286,2530.3373986125034,2873.432508149577
2025-01-25,2955.040723503117,2931.2809822922286,2370.495869930832,2631.0722789865717
2025-01-26,2902.1487082526646,2771.137164379297,2393.6592013698732,2605.968662034257
2025-01-27,2999.989132173189,2803.6781006719716,2551.018731903303,2718.1056515268965
2025-01-28,3019.8650290782425,2980.214428492194,2606.528745474159,2977.8832327322816
2025-01-29,3152.355976166777,2996.052140637961,2647.851979781692,2968.433285855573
2025-01-30,3178.871567354984,3067.329493914991,2627.590993194794,2775.5647651803993
2025-01-31,2897.1116739318795,2923.964698979355,2354.4751009562715,2689.4690184727738
2025-02-01,2812.6937933428917,2844.705633416687,2335.6189779590813,2375.824125946682
2025-02-02,2753.015660739696,2816.6551877640036,2350.857913170969,2607.3204536595144
2025-02-03,2885.0646737694005,2939.527954512619,2514.2649376776744,2754.9557101768896
2025-02-04,2999.772486951457,3008.368124367467,2635.978254103277,2885.282381633812
2025-02-05,3010.8661265690325,3173.8464998407258,2732.705868739376,3083.634064188245
2025-02-06,3100.5712292648113,3186.2808551258604,2725.619877049268,3001.2299810364757
2025-02-07,2928.0801599664264,2956.579552607893,2534.7719938269865,2820.0454223188085
2025-02-08,2992.298312870194,2883.7905638312836,2456.5962001970656,2711.9070605879724
2025-02-09,2990.1806944778837,2936.3233133937556,2438.871905519758,2825.954990925705
2025-02-10,3005.468452072373,3183.116308123782,2681.9968360660305,2878.952507026759
2025-02-11,3158.4931637010995,3226.783248990552,2895.360219173747,3127.2789025616285
2025-02-12,3105.9553373665262,3536.2141140899266,2850.9854788150874,3269.917702208622
2025-02-13,3145.4803248123303,3236.95058483909,2716.738292343814,3072.5920350815823
2025-02-14,3080.355297526754,3245.0006529170273,2726.384947351803,3117.9809909879637
2025-02-15,2897.751866925671,3093.554730312713,2612.0612012035176,2705.269505164334
2025-02-16,2875.466399965089,2887.3484874780916,2606.416224403089,2827.165315622896
2025-02-17,3068.250785104863,3168.4404117522013,2703.5919617431305,2922.9512803193547
2025-02-18,3179.937893475302,3464.3797915452,2963.542386039684,3280.599538839616
2025-02-19,3227.7196600207544,3358.1820148411284,2972.472823803475,3315.713683560495
2025-02-20,3088.7293001464845,3358.60584649025,2852.6662840382132,3252.057702489246
2025-02-21,2886.080336824955,3219.45395070744,2647.73535431035,2962.778845634713
2025-02-22,2937.6829151542097,3238.990453913129,2626.373198368655,2687.5872505073094
2025-02-23,2951.2374920064262,3054.90964818484,2548.3613325417377,2915.877980659638
2025-02-24,3024.2487601990215,3292.761896321248,2753.535660247472,2991.510840400252
2025-02-25,3115.5809523168687,3289.152020212385,2874.4194704882257,3168.275700176277
2025-02-26,3193.5424550381745,3294.3808385527227,2846.26251080036,3070.968702101247
2025-02-27,3108.712098392429,3317.968330951541,2807.350328323243,3097.3069712939587
2025-02-28,2923.4432742274776,3091.8685810099296,2689.390004284188,2861.157770566853
2025-03-01,2907.5082975917044,2878.0271942147447,2455.8952317797084,2674.5806316174635
2025-03-02,2839.1838155537685,2943.676908125767,2366.8192975968686,2676.3517112074032
2025-03-03,2927.8955810407874,3075.095854423095,2487.093523637222,2737.9306438847384
2025-03-04,3031.210367364457,3127.7994422985,2789.1511324080657,2967.9653359038084
2025-03-05,3021.0105932040706,3203.5783438741687,2710.7913592183636,2937.666148164474
2025-03-06,2963.066002286735,3026.50497203497,2564.8000618024716,2899.2131389015276
2025-03-07,2917.609812917792,2829.845853580406,2428.626016479569,2503.338171547555
2025-03-08,2711.637681328474,2647.825074194977,2263.3148571675515,2435.945553058318
2025-03-09,2729.5518964448875,2662.194446582059,2096.1149421731607,2269.4995774330555
2025-03-10,2861.8431683953454,2739.331153305607,2251.626059321444,2471.5826039272097
2025-03-11,2824.5007942882453,2796.803886658107,2365.1193132695626,2510.578335483182
2025-03-12,2853.4867621649364,2841.350649223425,2479.711934022903,2622.433425131158
2025-03-13,2961.200494713938,2779.2527445998653,2439.3693600832044,2513.533110339075
2025-03-14,2868.430084155606,2692.4229857529735,2191.214317047444,2510.0816148456074
2025-03-15,2731.1341602372017,2552.3812887529557,2092.43027280448,2234.58936393622
2025-03-16,2653.4412090921032,2540.3231904793365,1944.6915386072724,2285.9167264960483
2025-03-17,2811.0241652630993,2626.626352071918,2228.5397757944065,2332.530732627107
2025-03-18,2891.8551564887266,2799.098742046962,2320.06230741944,2597.525913972367
2025-03-19,3017.598414512725,2861.332001416159,2468.2447092341595,2603.9649531070336
2025-03-20,2897.394007391199,2746.4609934392524,2358.8604861869844,2567.8682434997813
2025-03-21,2718.0511729376403,2730.0956841095112,2216.7904988114387,2321.650575803325
2025-03-22,2742.814157156283,2644.3794983228636,2128.2702222872576,2294.2372936980933
2025-03-23,2681.049728179184,2601.7773810614,2170.768474515771,2161.464692198698
2025-03-24,2745.765324857024,2765.618450206772,2229.643216722887,2411.087863796857
2025-03-25,3000.035540715521,2986.5176922851883,2499.468720835475,2651.8215907442927
2025-03-26,3095.5182871240854,2980.8446580181276,2580.2053452780465,2717.758426616352
2025-03-27,2905.9011357188724,3030.550567172948,2486.734742220204,2662.758706549834
2025-03-28,2847.4133721003845,2930.91010830352,2333.4758201609166,2494.8366838247875
2025-03-29,2601.6555083571293,2807.4729875199027,2225.9419075322344,2483.9538736890217
2025-03-30,2760.0454680191033,2930.3015247085723,2280.9904516530664,2437.712483647754
2025-03-31,2887.3356077991093,2941.3614229150694,2295.3713200072107,2699.285808920585
2025-04-01,2877.588312000173,3075.0760531141623,2438.106999810693,2763.051916107777
2025-04-02,3047.685912494682,3290.205035646339,2617.7530278892878,2926.1468177718984
2025-04-03,2915.549607551977,3141.8721528554133,2586.937163439661,2893.2053617754823
2025-04-04,2956.370414698973,3039.9427029882936,2368.49459155616,2654.191936975452
2025-04-05,2713.228150380467,2915.3567229905016,2263.164450004667,2470.826024344405
2025-04-06,2716.8606741233552,2946.4507399033746,2252.716889678068,2527.2583065103054
2025-04-07,2855.2657972427673,3123.930282357208,2485.598617962613,2634.4775391148455
2025-04-08,2931.6994290556954,3283.350676829204,2648.7374391815124,2792.4854613953653
2025-04-09,2930.259052420425,3271.0950459101928,2643.762358871313,2980.1685145472247
2025-04-10,2962.154832015329,3152.68218368607,2590.4001606325005,2916.9625789371867
2025-04-11,2829.80226263875,2929.0325380970767,2464.6362858953617,2767.2938479839163
2025-04-12,2889.992996042092,2858.4468396940147,2325.717047891497,2536.5301910876055
2025-04-13,2772.568993279356,2671.8523958245064,2373.2770734892792,2400.299285272131
2025-04-14,2917.1462273336438,2917.192012248163,2456.4049484587918,2730.5729150111883
2025-04-15,2959.7916485975643,3002.931191687134,2551.1654327939114,2837.6387645449936
2025-04-16,2912.3071575068757,3166.367613782371,2518.635971576325,2752.7685792946772
2025-04-17,2860.122276632382,2900.228053928058,2480.8947159046356,2791.4638222320464
2025-04-18,2705.715992363501,2732.428124165722,2253.097307698161,2609.502796404021
2025-04-19,2723.2892731679217,2728.424036948992,2077.8690813211647,2278.581747557863
2025-04-20,2804.668216454214,2595.437509523916,2134.015811969972,2237.737418718538
2025-04-21,2775.104342628992,2821.536112290861,2214.4895139132454,2383.26442814718
2025-04-22,2766.7803417028717,2908.8175310797865,2348.6922961358923,2640.247559124219
2025-04-23,2939.9772115242913,2806.5603848374376,2290.2030844888054,2586.4394025692864
2025-04-24,2734.9870882261966,2834.8878593414147,2169.2100380937213,2427.163424725059
2025-04-25,2561.157409158918,2530.36642818306,2101.3967312914165,2213.0723239775853
2025-04-26,2624.5307770316017,2469.9402530076054,1962.153156141408,2069.7101128738027
2025-04-27,2636.2999530181337,2375.290585290548,1966.6158122248296,1969.1283241218305
2025-04-28,2662.5197564283376,2512.823721801493,1949.9637376575274,2178.859119301547
2025-04-29,2656.7698917438393,2701.387863376629,2226.6617429892594,2421.895470850262
2025-04-30,2744.408765989296,2756.4214287973286,2262.336297987833,2507.3644549140213
2025-05-01,2775.1604514405276,2611.08878214876,2164.1330248151253,2425.979334247965
2025-05-02,2684.5912579212154,2417.9956663869825,2003.1744994278163,2045.4052955434115
2025-05-03,2576.926377906007,2465.661825877882,1956.5400999285432,2048.5609436720447
2025-05-04,2672.8093521962337,2471.896325519275,1905.1815483859361,2122.167771693067
2025-05-05,2724.978727893695,2579.251171618577,2114.292817332686,2348.9476058554696
2025-05-06,2856.580171357663,2758.953724630792,2087.7731260348082,2277.2941010102736
2025-05-07,2771.6149970795386,2918.59217758014,2200.9927702760365,2515.1554423747657
2025-05-08,2772.1708081445568,2639.631808147312,2240.3818012790475,2531.5002764113356
2025-05-09,2680.6918381317073,2628.2558811965764,2092.326307509471,2160.1817806789522
2025-05-10,2614.828544744014,2573.5410677029386,1955.1406027135909,2059.038146382426
2025-05-11,2655.3248344130097,2574.2873257823935,1975.928662933326,2077.1393000508583
2025-05-12,2810.9671958964977,2675.0366420665505,2151.9251091977976,2312.790531582606
2025-05-13,2858.694900906354,2882.7670925026046,2282.463652425967,2559.24121793331
2025-05-14,2846.0011079409196,3013.2627392726804,2409.921986293814,2687.2995435670978
2025-05-15,2880.546412280634,2933.006741434532,2332.533118157225,2740.161351614059
2025-05-16,2779.980408774496,2864.807234113437,2320.441188305387,2417.890415076959
2025-05-17,2746.2010542659505,2727.3039096228454,2122.7153577039116,2311.4932771995927
2025-05-18,2814.1048774380133,2828.5714904278384,2223.2134689834616,2287.503243845508
2025-05-19,2814.418978094454,2786.1631696709064,2364.2745314177923,2585.9268294127037
2025-05-20,2861.9101154472596,3158.391709821449,2467.849921930359,2758.2740387197364
2025-05-21,3009.443395709048,3092.693966134827,2493.302748336954,2817.452635257881
2025-05-22,2798.5784112605706,3062.835484047572,2366.358763394094,2716.0261547065757
2025-05-23,2695.3734098100695,2842.077431225888,2318.69889527954,2536.2197863349706
2025-05-24,2717.345605173039,2828.573156605829,2140.426131423908,2425.1800156298445
2025-05-25,2701.8878712210044,2884.3391714766753,2243.0796775214617,2506.8402101441975
2025-05-26,2747.959178281156,2858.112401555897,2237.7376862953174,2619.809023420417
2025-05-27,2876.978928038012,2981.659408659017,2496.2738933299606,2744.721134170477
2025-05-28,2968.2734960140497,3024.1497255014197,2449.9352668417378,2902.353548453383
2025-05-29,2863.174986979921,2903.1573809780493,2410.812747083,2673.428775651983
2025-05-30,2701.577689383408,2815.4040382954704,2296.3481387160277,2518.4615505302118
2025-05-31,2710.0965323807873,2697.2201000552745,2079.1201608947968,2301.357872809746
2025-06-01,2693.273632120482,2613.89438051179,2114.4245187999354,2362.116343365774
2025-06-02,2654.0979119015014,2804.638582365496,2202.532654972678,2423.7898150298984
2025-06-03,2881.1128399711747,2797.345829843541,2390.3219659421597,2609.1168478639547
2025-06-04,2908.6362977881304,2888.551428483111,2372.6887363948676,2651.126322208521
2025-06-05,2702.8027999508595,2838.396771045714,2226.6249080737166,2494.16698288736
2025-06-06,2693.754523577915,2775.997357621769,2090.9600448447727,2318.5910981965435
2025-06-07,2605.7685262803457,2554.7798859633936,1929.7614290284419,2167.177131848969
2025-06-08,2467.6580860061067,2433.7754022413274,1944.0076914530111,2220.0488061806745
2025-06-09,2730.95564882983,2525.4923248325704,2002.144931817988,2207.81192260485
2025-06-10,2839.7379440082887,2663.320230490248,2241.6789680474058,2391.4973376294934
2025-06-11,2766.659693400132,2638.61390763138,2207.250784063247,2453.5912721243835
2025-06-12,2777.996798120064,2580.102115180904,2138.1373961767185,2358.1523845082547
2025-06-13,2649.8087142018767,2380.212210050602,1850.8356287082895,1986.1685259448836
2025-06-14,2413.110307608913,2390.362810517941,1751.8986443411732,1999.2521851159943
2025-06-15,2457.5802946512854,2372.7163474408885,1756.1561365932134,1952.9551825974615
2025-06-16,2499.7949433676768,2397.047877868485,1845.0244256646859,2020.0984378487442
2025-06-17,2747.0100422541614,2467.5887547344773,1876.627956708318,2164.741960150315
2025-06-18,2631.4102373048445,2563.4836561950574,1951.8449143343537,2224.970096293641
2025-06-19,2640.7670258142275,2587.050635618149,1877.8026069695231,2145.8733244561167
2025-06-20,2679.6012604766916,2429.029903631153,1818.8916266633337,1910.5861784606002
2025-06-21,2474.9512137325105,2320.648357303558,1747.146613480547,1797.5184316085204
2025-06-22,2541.6702516550777,2474.9458689547128,1756.9159330057548,1829.83899973155
2025-06-23,2637.95132428695,2481.810511729836,1774.1527023830365,1985.4075693301597
2025-06-24,2648.2410814438817,2701.8342948350937,2023.8014303169361,2281.559382635604
2025-06-25,2754.083747710006,2752.8156079446194,2182.798908233333,2480.028809696646
2025-06-26,2710.836406504002,2703.448006737123,2134.5191219551243,2213.2214695240577
2025-06-27,2617.7433041850027,2584.423638054029,1990.6651355229353,2110.809011546663
2025-06-28,2431.8019130982507,2540.4470894819324,1819.08548837563,2058.643366184746
2025-06-29,2535.0513756800333,2600.3249126999854,1826.863087217845,2085.6131182882286
